Month,t2.medium
12234,1159
12235,1159
12236,1159
12237,1159
12238,1159
12239,1159
12240,1159
12241,1159
12242,1159
12243,1159
12244,1159
12245,1159
12246,1159
12247,1159
12248,1159
12249,1159
12250,1159
12251,1159
12252,1159
12253,1159
12254,1159
12255,1159
12256,1159
12257,1159
12258,1159
12259,1159
12260,1159
12261,1159
12262,1159
12263,1159
12264,1159
12265,1159
12266,1159
12267,1159
12268,1159
12269,1159
12270,1159
12271,1159
12272,1159
12273,1159
12274,1159
12275,1159
12276,1159
12277,1159
12278,1159
12279,1159
12280,1159
12281,1159
12282,1159
12283,1159
12284,1159
12285,1159
12286,1159
12287,1159
12288,1159
12289,1159
12290,1159
12291,1159
12292,1159
12293,1159
12294,1159
12295,1159
12296,1159
12297,1159
12298,1159
12299,1159
12300,1159
12301,1159
12302,1159
12303,1159
12304,1159
12305,1159
12306,1159
12307,1159
12308,1159
12309,1159
12310,1159
12311,1159
12312,1159
12313,1159
12314,1159
12315,1159
12316,1159
12317,1159
12318,1159
12319,1159
12320,1159
12321,1159
12322,1159
12323,1159
12324,1159
12325,1159
12326,1159
12327,1159
12328,1159
12329,1159
12330,1159
12331,1159
12332,1159
12333,1159
12334,1159
12335,1159
12336,1159
12337,1159
12338,1159
12339,1159
12340,1159
12341,1159
12342,1159
12343,1159
12344,1159
12345,1159
12346,1159
12347,1159
12348,1159
12349,1159
12350,1159
12351,1159
12352,1159
12353,1159
12354,1159
12355,1159
12356,1159
12357,1159
12358,1159
12359,1159
12360,1159
12361,1159
12362,1159
12363,1159
12364,1159
12365,1159
12366,1159
12367,1159
12368,1159
12369,1159
12370,1159
12371,1159
12372,1159
12373,1159
12374,1159
12375,1159
12376,1159
12377,1159
12378,1159
12379,1159
12380,1159
12381,1159
12382,1159
12383,1159
12384,1159
12385,1159
12386,1159
12387,1159
12388,1159
12389,1159
12390,1159
12391,1159
12392,1159
12393,1159
12394,1159
12395,1159
12396,1159
12397,1159
12398,1159
12399,1159
12400,1159
12401,1159
12402,1159
12403,1159
12404,1159
12405,1159
12406,1159
12407,1159
12408,1159
12409,1159
12410,1159
12411,1159
12412,1159
12413,1159
12414,1159
12415,1159
12416,1159
12417,1159
12418,1159
12419,1159
12420,1159
12421,1159
12422,1159
12423,1159
12424,1159
12425,1159
12426,1159
12427,1159
12428,1159
12429,1159
12430,1159
12431,1159
12432,1159
12433,1159
12434,1159
12435,1159
12436,1159
12437,1159
12438,1159
12439,1159
12440,1159
12441,1159
12442,1159
12443,1159
12444,1159
12445,1159
12446,1159
12447,1159
12448,1159
12449,1159
12450,1159
12451,1159
12452,1159
12453,1159
12454,1159
12455,1159
12456,1159
12457,1159
12458,1159
12459,1159
12460,1159
12461,1159
12462,1159
12463,1159
12464,1159
12465,1159
12466,1159
12467,1159
12468,1159
12469,1159
12470,1159
12471,1159
12472,1159
12473,1159
12474,1159
12475,1159
12476,1159
12477,1159
12478,1159
12479,1159
12480,1159
12481,1159
12482,1159
12483,1159
12484,1159
12485,1159
12486,1159
12487,1159
12488,1159
12489,1159
12490,1159
12491,1159
12492,1159
12493,1159
12494,1159
12495,1159
12496,1159
12497,1159
12498,1159
12499,1159
12500,1159
12501,1159
12502,1159
12503,1159
12504,1159
12505,1159
12506,1159
12507,1159
12508,1159
12509,1159
12510,1159
12511,1159
12512,1159
12513,1159
12514,1159
12515,1159
12516,1159
12517,1159
12518,1159
12519,1159
12520,1159
12521,1159
12522,1159
12523,1159
12524,1159
12525,1159
12526,1159
12527,1159
12528,1159
12529,1159
12530,1159
12531,1159
12532,1159
12533,1159
12534,1159
12535,1159
12536,1159
12537,1159
12538,1159
12539,1159
12540,1159
12541,1159
12542,1159
12543,1159
12544,1159
12545,1159
12546,1159
12547,1159
12548,1159
12549,1159
12550,1159
12551,1159
12552,1159
12553,1159
12554,1159
12555,1159
12556,1159
12557,1159
12558,1159
12559,1159
12560,1159
12561,1159
12562,1159
12563,1159
12564,1159
